published,fetched_at,ticker,title,source,link,sentiment,sentiment_label
2026-05-17,2026-06-29,GOOGL,Bank of America resets Google stock forecast before key event - thestreet.com,thestreet.com,https://news.google.com/rss/articles/CBMipwFBVV95cUxOWGhHcDRLbEZ2bTQ3c0p5RWtIUmJEcTZvRHI5UmYzRG9aeW9jWWJBZnI2X2toM2Q2RmpPTFRTMFlUX2RTektUTEJLVVJscFlhUl8wSVdMdm5oY2VtUTBiYlRHckxNajBqWXJrdFVrTXIyVHQwX1RQdUl1YlU1TEs1ZHY3QjBzWkVYUjBpOVpobjM2OXBzelNfSjR5TkdwS0hDLU1RT2ZkUQ?oc=5,0.0,neutral
2026-05-28,2026-07-03,GOOGL,Alphabet (GOOGL): The Best Strong Buy Stock to Buy and Hold for the Next 5 Years - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMimwFBVV95cUxNYnBiZGpjS3lDbjM5eFJmNXNuVUhZREp1ZDJTVzZEbDRQYnBEWHJZWWdMWHFsRzRubmJTY1BRVGtzSlJRSWRjTHVBUmo1VGhrN2tFOUNjc3EycEtGZ1Yya19PTFlBdEtFajZ3UWx5YkZyYXA0c3ZxQjNYWENKZmxYNkR0UWtEV2NVZTN2VE8yOGVUbUI0MFJydmJLcw?oc=5,0.8176,positive
2026-06-01,2026-07-09,GOOGL,Google Stock Drops as $80 Billion AI Fundraising Plan Sparks Dilution Concerns - BeInCrypto,BeInCrypto,https://news.google.com/rss/articles/CBMib0FVX3lxTE1VOUR3OTZNUGRWMy1aTUhqU3hxWDNtMnZ3eldoalRUT2sxOUlTUW5BZ3JKZUdIa2loRFYzc1laQ3p4Mmpyem44R2xGVUxnMmpqYldWTUROUnBIZ29ndXB0NGV6dWVfYTFuOVU5SUJfdw?oc=5,0.0,neutral
2026-06-02,2026-07-03,GOOGL,Google Upsizes Equity Offering To Fund AI To $84.75 Billion - Investor's Business Daily,Investor's Business Daily,https://news.google.com/rss/articles/CBMiswFBVV95cUxNa2t4SFFBV3FLRXk0bUtBUW1XNk5RVHNPMFEzM0kyeU4xODhydWUtdVJsQjRXQ1N5X3FYWm4yakxEcjVjVFo1U2JNTktiSjhSaXVlVVpzZ01Lek53MTcxVjB4T2ExZFExNGViMENNdEV1TTFpeDVCaUJoSEM5RGhUUnVLeV9yOUZha21MNGVjZW0wbl9QMmVBMTNsdFdYcWlJQkVkTllnUkxWTXdhWXFoSUZXMA?oc=5,0.0,neutral
2026-06-04,2026-06-26,GOOGL,Prediction: Google Stock Will Hit $600 on This Date - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMinAFBVV95cUxObXVOMGd5aWpReEYwSkNFcXVwcGFoWTZMdlhxekZVWFNFdHloSUdoUFFiR1h5ZGhjUjFHT3E3SExvZFJaUXpJRVhvUU1RcV9mUWtkYmlfRGNELVdiX0k5NUdjSDNOZjBVbUpUX3I1N01fXzd3ZzdfUGNvM1l1S2luUGNFbTNoeWJfem9vVTVmR1Vteno4dTJBQVFFQnI?oc=5,0.0,neutral
2026-06-07,2026-07-29,GOOGL,Google Stock Fell on CapEx Plans. Don’t Miss the Silver Lining in Berkshire Hathaway’s Big Bet. - Barchart.com,Barchart.com,https://news.google.com/rss/articles/CBMi0AFBVV95cUxPcUE1TVVNcWl6UzZITzJCY3ZEd0h5akNBVkJRQVVUQ0JfaEpzajJZSDFMdnk2eG9zZ1Z6ZURHRVpfSHA0RnlJcFlQVDRWeWZlNGE4dllLemp2Z0dxVlB4d2FYNm1STkUyOWY4WTRnVUNvM2duLTc0VkdKeU9qUjMwTWZ4dXZPSkdlZEt1U1ZfOXBpNTdBa0c4X0tINU12VS1vMmhUTjFtVmVtVVZhVFhXZVFrZjJEVFVlN3dGTks2cjVxSDNWR29IVG56cW9XR0hY?oc=5,-0.1531,negative
2026-06-09,2026-07-02,GOOGL,Google Parent Alphabet Is Issuing More Shares. Time to Sell? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMiogFBVV95cUxNQzF1TXNFTFdfcGs3YUFXMmdtUFZLakVsZUZVRkg1bWZHdVFhejNtYzJSWWVYMGZOd0ZwdkpiZGZhYVMyRE55alhaRk1DWFM1dW5rTjFGTVhkUDZCZm5KLTlhajF1a1RmcEgzQjN2bjBPX3FObkNtTlFrTnZTZWR4U0xLZW1KOGFUeUgyOGZIWG1wam1PTUJMcklhUW91Ym1MZGc?oc=5,0.3597,positive
2026-06-15,2026-07-08,GOOGL,Alphabet (GOOGL) Stock After 109% Year Gain And AI Headlines Is It Still Reasonable Priced - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMimgFBVV95cUxQRmdxWlhWelhRWDFaUlBrMldibVA5OVdBRUlHMG9FU1NBVDJOTDE3cEp3V2g1UmpnSEloTjhldm5ZeDlWR2tTelM5bXhDQldZVFdoem1NNXNaUVFsb0I5Vy1jbEJkd21CMjlFUnRfLTBuTFdzLTEwR0xHYjh5WFRrQ1JMSDZVcHNQQmVqeTRHc3VRb2N2cTRfUFdB?oc=5,0.5267,positive
2026-06-17,2026-07-02,GOOGL,"Alphabet Drops 6% in a Month: Buy, Sell, or Hold the GOOGL Stock? - Yahoo Finance",Yahoo Finance,https://news.google.com/rss/articles/CBMilgFBVV95cUxNSklwaTBKYnZxOWI1S0p4T0NGd3dXSEMtN0dXQ2tkQjZqRng1MFVCeDdhbEt2ZnczLWI3MER3ZGNjZmlvUjRTbnlvclNpbTM0OXktbjBzNlM5Sk12Qlk0R3FtSU1OWDdoN0JOYnNMM0hOd2VDQUFVQkd1Qy11RnJFeWdhSnlIMWw1WmRkbHotaU5kVTNrT2c?oc=5,0.0,neutral
2026-06-18,2026-07-14,GOOGL,GOOGL Stock In Focus: Waymo Recalls Thousands Of US Robotaxis Over Navigation Issue - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMinAFBVV95cUxQV25wQ09QM1dQOVlCWnByUTk3REVQaWVOVUd3R3Yyd29FeWVFVTVkTm9aVWZpU21DcVBybFJsTWhuSm16U2R4bUNubUFBZklXUkVCb0tJdExMVVhra3R5bEFUd0tzcWdzdHJ4WWZrRjN3WEpGT2FPbkJYNFNZT1k4QnNIZXBpc1A5S3ljdEx6ZmZvNFR1eTZ6OG1JekE?oc=5,0.0,neutral
