published,fetched_at,ticker,title,source,link,sentiment,sentiment_label
2026-03-21,2026-06-24,KO,Is Coca Cola (KO) The Best Forever Dividend Growth Stock To Buy Now? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMilAFBVV95cUxNenhfcnJGUUZ5S196OGNwdkt0N0ZiUUQyeE9mdGJHbm8xNmFnMUcxM0RmTmZ6NzE2YkpRTjRIWmhfUGFoUFRPZE1hYU9sMnNHTC14WFp5amRjZW9tS2Fma3YzOHgyYkxWOTRfSnh3MzJ1d1hSZnBUN0RkNzZ0ZVZ6YlZ6dTJXaklzM1hKVWIzZGRHX2V4?oc=5,0.7783,positive
2026-04-06,2026-06-24,KO,Is The Coca-Cola Company (KO) A Good Stock To Buy Now? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMilAFBVV95cUxPbnUwd0laRGxKR1ZjOXMtcDFNRXEwTldxZnh6ZW9yUWx3VnI3cjVORE1xdGRCNFlHQ0lTN1dGT1VidkFSYmp5MnEwcVR6Wk05QmRONWF4UGVsS0ZaZGJlQXdyLUV0enZUMGIzQ0M0ZDFUbXZvNXY1Ti02cy1MUXhTN1A4Z3lVaHpjNXRweExiYkxjNFpT?oc=5,0.4404,positive
2026-04-29,2026-06-24,KO,"Coca-Cola (KO) Stock Trades Up, Here Is Why - Yahoo Finance",Yahoo Finance,https://news.google.com/rss/articles/CBMilAFBVV95cUxPVmpITVBfUFd3VkFvYUVGcXdrbm1jZm1ieVFCcko0empBTmtLSVQ4NW5MV2ZRRndFZU5HY0tWUmZrWXJJQzNjTUpmb01Vb0hHdVVWblAtS3UwNUZuVTBSQXJmaVpTcHVMbnF0R3RpR3psRmJxWkVyT2V6MlNJZ3dLVmQ2QjZ3eHlnSFNwN2VBZDVnbzUx?oc=5,0.0,neutral
2026-05-08,2026-06-24,KO,"After Earnings, Is Coca-Cola Stock a Buy, a Sell, or Fairly Valued? - Morningstar",Morningstar,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPdmVoYjQxamMwWFBpT0xIMlJpUlEzM1FtOVJZdURLbGtEQXpUMjc4d1hHRlQ2bGlCam9Rd3ltbVZMVWFpNW1GT1RhSVNuakQ1bWh6ODBaZVpNbmU1eVB5WDZjeFlYdGh4d09talVjUFFlbHdaRExlWmJyN3hFOHpKbl9ZdHJ2YnplckJ6bGhOWllXbU9YRTlKRjV2R1NsMklCR1dSRlpFZUQ?oc=5,0.4404,positive
2026-05-12,2026-06-24,KO,Is The Coca-Cola Company (KO) the Best Stock Under $100 to Invest In Now? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMilAFBVV95cUxPNEI5Zzd2ZkpWWjhlWGhOdDdHeWRDUExsaERXQVNPTm1uWEtvYzhYVnlFWXpKLUVxTUVfOVV1bHQ2bXB6WFFjWlBwUjdnckFvT0l6TnBSVnluMUFGeWs0NW9YOVdwZ1hMZlhJYUQycXFJQWZrcm9VTWFUcDVKbUt2VXpHYzNYVUFlQWtGRjN6RjFIZTlu?oc=5,0.6369,positive
2026-05-30,2026-06-24,KO,Is Coca-Cola Stock Underperforming the S&P 500? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMinwFBVV95cUxQc084Mlc2TVZyLVNLcmdZTWViM0tQZGZoSWhvLWg2WkNjVWc2bjJMWlBaZkkxY0hWVk1jdnpYd1ZCNGZwRzlqMGNJMEtubWxIbVEtQnUxYkZIUzVWSVNGNmZvTUJ5VUtxTmg5dlVPR05sbVFFSkhEbVpfMnIxOEZMMHZYeWtDeGJTdXhVUFo4MjhzTEJyY283NnZYTkxBVVE?oc=5,0.0,neutral
2026-06-01,2026-06-24,KO,Coca Cola Stock Will Hit a New All-Time High On This Date - 24/7 Wall St.,24/7 Wall St.,https://news.google.com/rss/articles/CBMiowFBVV95cUxQM3diVmdmMEVaLXNBc01JaE1jaFM1cHpGSnI0Ri1NM3E0RmRMb2hCcF9wNVZmQnpYcTB6cjlMdFhkTExwUGhhb1BrY2N0WGNFUE1IUUN6T1JxcnJjUllEdmx2Slh2bEo3T0VpWWhSUWt0cFBaakJBTXNpQUJKbFh6NWYtT1ZOR3haVFozcTc1NF9MQXE4ZTNLNHFUR2RiYXF2THk0?oc=5,0.0,neutral
2026-06-01,2026-06-24,KO,Coca Cola Stock Will Hit a New All-Time High On This Date - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMikwFBVV95cUxQMENJenFBMWJxUUh4TDNSZHVNTlgyMjVqeW9ITFlkeHpON0UyT2RLSkY0WnZXV19mbDdwUEw1MnZ5ZDFNYnJHODZZZUhiR1pMUkc0QkV6WFViMkpJWlVCclpuTWtpSXB4eHhSLVhaZlZxem55LVVidUhYbEc3STM0eU8yNDd2dXVFcEowQmVDVHNZWm8?oc=5,0.0,neutral
2026-06-04,2026-06-24,KO,Assessing Coca-Cola (KO) Valuation As Recent Share Weakness Meets Conflicting Fair Value Signals - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMingFBVV95cUxONTRNTmV0S2lpcWRyeEswVFdWendzR05neEc5ckhWLU9vQ3ExdHVjemZkTzNxSENRaUlGZER5OTlfUE9BQ21nSGFOU0xIQWQ3aHJJQndLd0tQX1pyelRCNm1lUDMxaHptazlkajg1UXdkdFA3TkJmbnBZS0lFS3lFM2ZGYklhUndncUFZU0NxSUR5NEtwM0xobG1QbzVvZw?oc=5,0.1027,positive
2026-06-05,2026-06-24,KO,"KO Stock In Focus: Middle East Risk, Consumer Weakness, CEO Stock Sale Amplify Uncertainty - Yahoo Finance",Yahoo Finance,https://news.google.com/rss/articles/CBMilgFBVV95cUxPODJPb0J5WXQtV1AyQlpFci03bzhsVE92NHk1VGxLMms1UTlNbVljU2xQTVUyaU1jUUFDR1lBek9sTlptS2N3ODFxX19vWHZSUUZRNnhTWWxrR00wSUt1S2hWQ1lqNjFhVmRucWY4NmtCc2FMQ1ExZ2otOVlteWpGNTRNR1ZpV1ROU1NpTkxWS0dzWXR5TXc?oc=5,-0.743,negative
2026-06-05,2026-06-24,KO,How The Coca-Cola (KO) Investment Narrative Is Evolving Without A Change In Fair Value - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMinwFBVV95cUxNQWZtcXlFZGgzeDFFb0V0RUZvY2M3R3ppRjJqWWYtbEZ5S2VrMG42SU9NQWw4VGg2SGJzTnZBSDBubmpSYXhlUU1PcUs1TVAyZ1phQTlzQzc4Qm9HeXVxdV8yNUhMNjJGamM2ejA2bGZaRmQyTUhjVnN2cmNLRVQtSEx0S3Y3Sy14cGxvQUQyOU5kV2traENId05VajRTVW8?oc=5,0.5719,positive
2026-06-06,2026-06-24,KO,"Here's How Many Shares of Coca-Cola You'd Need for $10,000 in Yearly Dividends - Yahoo Finance",Yahoo Finance,https://news.google.com/rss/articles/CBMilwFBVV95cUxNeWxya2hMRTA0SEpGQU1ZLVRVZ1pjSk5JSEZKSWhELXBrS09heTF2S09IbUtBaXBZTWo3eEt2V1ZOYmdITVdkaEFpSzFDZjg5UmRkNmRRNWNyZTFEU3JJaUUxcWpBUlRKaWw0WUt1Ui1hRVl2ZVhEbEVvd3BoYzFEdTR5ODBoODFDZVVvV2l1LWV5OW1DNFpR?oc=5,0.296,positive
2026-06-09,2026-06-24,KO,Is Coca-Cola (KO) Still Priced Fairly After Strong Multi Year Share Gains? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMilAFBVV95cUxPeUtCdFJuYzNrUm5sWUNnWFlJU2ozbmUwYkprSUk0d0NPd3VIQVk4NmMzeE55eVUtV2Z5WDRQNXlpMDJJZ2JHVVdFa1BNYk1qb2JyX0lOUUZkYVBjRDdXc045aE9KZUp1TFltcmpOeUViV0E5S09RMWNwWm1kbXlfa3FrOVZmbDNuTXpSNVQ0UkpTUENU?oc=5,0.7845,positive
