published,fetched_at,ticker,title,source,link,sentiment,sentiment_label
2026-03-02,2026-06-24,MRK,Merck (MRK) Stock Dips While Market Gains: Key Facts - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMifEFVX3lxTE5haUsxMmtxTGF3dWdZRE9MRmwtWEhRQVdYblF4LUJKbExPaTdzUC01bVF0cUViREctcTRlQWtvQUVna2lITVVsUGQ4ZWloN0VZdDFIbllHU2hxcVdmdGpUN3U5VWJOSG5lQmotNEhrSTktS1BYemc2REhwVG4?oc=5,0.34,positive
2026-03-27,2026-06-24,MRK,"Merck Stock Soars 50% in 6 Months: Buy, Hold, or Take Profits? - Yahoo Finance",Yahoo Finance,https://news.google.com/rss/articles/CBMikAFBVV95cUxPb2dLYWFDX0FiOHdyUWNMT3RfbW1TU3dFazZNSXNMVXhTUTJiMEFOelFKSTVKSkpfZUFyYVFkbDNaUi1XWkZCTFJBbFpYbkdRY1NGaUNncGxXcThzdDN2R3NEUGJBeTBRNGRDbEYyNGZEMGRBLUdCbWI1bFA1OWt4X2VrYWN4dHNsdFBUUXNIQlo?oc=5,0.4404,positive
2026-04-07,2026-06-24,MRK,Merck (MRK) Stock Declines While Market Improves: Some Information for Investors - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMimwFBVV95cUxNZ3htU2ZvamV2MUtPNWRxbk1KbGl1Z3ZNclkxQlJTZzd6RzdhaUFKNGdnU3JqRFFScllMLU5Gb3YxNkVWLUw5X0xCS3hGR0FkNGdtc1ZfSUxKZTU2NXNMODNXbjNtY05icFBhSFVKUmRnMjdYVER1YUZLYXNsOU5qU2ZZZVZOa01nc1FZTzM2bk0zNnFucnM1cE1Zdw?oc=5,0.4215,positive
2026-04-08,2026-06-24,MRK,Assessing Merck (MRK) Valuation After Strong Recent Share Price Momentum - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMiowFBVV95cUxOX2REQkN1NWFkSWpHdkgwc2QyZ2tTUGI3aFcyTjBsSGJnWXRkdU5PNEd6Q0xLQjRBUmJ0bFJiRlEyajFQc0Q0NWxrTUgwNnNrbjdrOGlLNHpqM0pmQjQybFRRbTc5Vk1oWEtVV2VlTktBa2MtaGRVQ0hpV3NSc0F3LTM2Snl5QkNPWThFYVJudHhUb3dOMDZkd3N4WTMwOGxSNnN3?oc=5,0.6705,positive
2026-04-13,2026-06-24,MRK,Merck (MRK) Stock Sinks As Market Gains: Here's Why - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMimAFBVV95cUxOZG9JMVV6ZkFFWm9lZTllT184YVFYTWVMNkNyQXhjRWt2dWIxWXQ4NDcyNmktaHhyX0dLRWhtRHBFaHA0bzNTVDllQ0l4eGdKcEtpSGFhVV9QLUV6LTVPemt6Tm9YVGJySkZSQ3F4enVLbGVBRW96ZUxGUXNoMURqZU12c0pSb1Z1cGJlWVNBbkU3RUhqNHdDVg?oc=5,0.34,positive
2026-04-21,2026-06-24,MRK,Why Merck (MRK) Shares Are Trading Lower Today - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMingFBVV95cUxOa2dWeTZvblFOdXpGRk0wUXhzQ2pIWU05dkYzQTY5em1ab2hsemRxRm1nb1lWdE9FbmJ5bUNHTTVDc2phdXZHTnFsanBiSUlxZTBBd1c3QmhiNzRRcEVacEduUENSS1c0OUtzcmtPX0huTHU3SXR6UVVyS2VvV0d4eFhvTmdvVlFnbUhCWmt2bUJYWXBZdW9kczlTbXFFUQ?oc=5,0.0,neutral
2026-04-24,2026-06-24,MRK,Merck (MRK) Stock Falls Amid Market Uptick: What Investors Need to Know - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMilgFBVV95cUxNOGd1allQWHh2bVZCUzlNUjMzT2QyMVp5ZFhJaDA1UDRWREJ1WFRNbDRjUVJHQXY5Ty1BZGFRYXhCTFc0VTJ2elZGVTROZTFxMDc5NW1UN1pPOXdhOU50aEtpejZ0MGVVd2FqZklyZTRzN3ZyUTQtckpQWFVmR3lDOVZKWjhNbHlMZ1lZa0U1TlRUN1ZLNXc?oc=5,0.0,neutral
2026-04-27,2026-06-24,MRK,"Buy, Sell or Hold MRK Stock With Q1 Earnings Around the Corner? - Yahoo Finance",Yahoo Finance,https://news.google.com/rss/articles/CBMilwFBVV95cUxQNGo5bVIyX0ZWZm5Xb2k1emQ5ZlRKZk5rQno3ZEMtendwTHVHbEJBV2JERk5uaU9fWUxYVElYbW92WUVWOVdNYnNFTWd5R3ZNYld5QUZrbWlhdHZRVXZFdnVxN2ZXeUhtSENrZGN2V2t1SFNPVWh3eGd0VjdDOHVoN1hZMWNqai1MOE00dXEwcEdOdTZoM2M0?oc=5,0.0,neutral
2026-05-27,2026-06-24,MRK,Five-Year Tally: Merck Stock Delivers $47 Bil Gain - Trefis,Trefis,https://news.google.com/rss/articles/CBMirAFBVV95cUxQQUdPUjZtLV9rWVowSHhQQTlCQ3dTWXE1NmRMMERBazVka2hmTDJkODhNUDQ3dkhCVm1vZDZnelVjN2tGeDIwdUs2RzJWZ1loMng4ZWJfUXFfUXhuZnRDQXJXVXZla1UyWXBScjJvVk5CZnJidXFiYXBhQjhvb1Nmd25vZ3lsTVNWN0hmVEJaU0t6emFKTDNrODZPU2RjOVRUb19lRndkZ3UyZTJr?oc=5,0.5267,positive
2026-05-28,2026-06-24,MRK,Merck Stock After a 60% Rally From Its Lows: Is It Still Worth Buying at $120? - TIKR.com,TIKR.com,https://news.google.com/rss/articles/CBMiogFBVV95cUxPblVJMXc5SFdGYlZwZkNEdUl5RlIxTzlqYnFib0tKXzU0UmFxd1h1cEk0VUtJaWI1b2pzRlNUTVZDNlhtNlFReVFBUHpyemFYYmZQM1BuV2ZvVFpqakJsejd5TGhSSW9ncG0xWWRnemtIWmVVOHFqN1RzSzBIWktRSDl0b3J1akxaRFdDX2s3LWVHdTBKY1JDYU5lQk1PWDI0U2c?oc=5,0.0258,neutral
