published,fetched_at,ticker,title,source,link,sentiment,sentiment_label
2026-05-25,2026-06-24,NKE,Jim Cramer Shares Tip For Nike (NKE) To Turnaround - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMilgFBVV95cUxNODVLREVzUjItRmFMT3dJSUx2XzY5T2l3b29uRmxOQjNzRUplWVE1dGthcnc4VVNFS2tvS0ozbHdnVTB5NlhvUEg2bHpvNzA2UVZydXBaZ0x6N0w5UWE4TXZ3X05lT1h3TW1hUjVySzRtTkpNaFV2NGxqYURGZXZFV0ozUlJPNmM1X1VWdWlLcFRkTzI4Rnc?oc=5,0.296,positive
2026-06-03,2026-06-24,NKE,NKE Stock Slips Below 50-Day SMA: A Warning Sign for Investors? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMikwFBVV95cUxQMjZOWjRNY0VsU0FGMjRLQXFoaktxeVVLSm5JVHZrQ29ZVVVBdWhDUnZpV3Fsc0p2QVM5WXNZU2Y1Qnl5VC0taUVJT3NIYjIzcF8zeHJnSlRmTkxyYXhFRFFaQjc3aUQwQ0d6QktKNnN3cmgzQzk2dnAyYU9LWnFPYkIxT211Zk9pV3otLVdHeUg4TFU?oc=5,-0.34,negative
2026-06-12,2026-06-24,NKE,How Nike's Running Revival Changes The Nike Stock Story - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMioAFBVV95cUxNMUJZa2U4dkh2elBXeG40VDU5cU1KbjkwUGtVY1hUVXVMa3hKTzFUdTgtTHhlLUtUTFpDYjVfVmg3WGlZcmdqcm5qY2UyZnlwWXNjOTU0bnJCU0M0ck93LVBhck41ZmpMaTlyRU02cWFHMzNYZUQ2d2NKRTN2cGhvaGYwdUwzU2JMVDVMMGM1NEZFTU9YRUQ0MHVaTTA0SjF0?oc=5,0.0,neutral
2026-06-19,2026-06-24,NKE,"Headed Into Earnings, Nike Stock Is Trading Lower Than It Was a Decade Ago. But Is the Turnaround Finally Working? - Yahoo Finance",Yahoo Finance,https://news.google.com/rss/articles/CBMioAFBVV95cUxOdDRrLWZLYVNmQjVneURpTzBURk9GUlg0WVU4RDlaejUxNjEwaVNSam1iMjJocTNsZXYwdXpULUlnd2tNRUdKYnpkUUZ5dS16d3ozZy1DY1BiMFFPbVgwd3BqYmw1NnUtcm5PNGJCeWNLbnlWeENFUk5IZWFMR28weHZJSzhrZ09ZaVVyaEVCRHNmVlZYZHhXblM0MHZHdTV1?oc=5,-0.1531,negative
2026-06-22,2026-06-24,NKE,Is Nike Stock Undervalued Right Now? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMilgFBVV95cUxQSUdzMEhUb0Y5V0Rzd0dZbEp4WmNBRjd2YVJ0UkdMdW1xQ3hMZlFHX0dJaktraG1oNlF4N0lCMDl6OVh0YjJWNGcyYk01aTdvM2pTNTVVcHNaT3VicVJaTzZEckp5N0tRblZTQWJuTV9tQ2hfVGxobG9wZ3ZjdC1FWVZ2TlJlOFdjbWE0Y3UzSThYTFVJc1E?oc=5,0.0,neutral
2026-06-22,2026-06-24,NKE,Is Nike Stock Undervalued Right Now? - The Motley Fool,The Motley Fool,https://news.google.com/rss/articles/CBMihAFBVV95cUxQRmllWXpLZVBWS0x6cUItMlVHdTNrQXBvU1BFNldySjRJQnNRZ0NWdFowZjV4eW1qTFp0WC1Xd2hQMENqRTdTSmVqWWxRNHBYYXdUdkZpelQxS0g2aWQwblYwZ1JYWm44SG9yYTZPOGlBeEMzYU1VcS1JNlE5eUF3Vm83TGs?oc=5,-0.4404,negative
2026-06-23,2026-06-24,NKE,"Stocks to watch on Tuesday after hours: FDX, KBH, and NKE - Seeking Alpha",Seeking Alpha,https://news.google.com/rss/articles/CBMilwFBVV95cUxNSGJvVDBfVVVvZ3UzbEViNjdBNVdCTVdoaERscUFCa2NNOTBaRHJvcUI3OF81MHpad3UxMHJuYnM4a1o0SlhaRExOX2E3OXh1ZDRQS3ZDN3IwNDdlOVdTbVFzNUtreDdaMjUzdDY2bXpEMDI0ckJaMGRkMXRnNkQwUE9ISmViUVIyOTg5Q1JURm15M3lBVFZJ?oc=5,0.0,neutral
2026-06-23,2026-06-24,NKE,3 Reasons to Sell NKE and 1 Stock to Buy Instead - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMijgFBVV95cUxOV0t5UkxzNUNaX1NpVk80YnZNN1hzRl9XTk9DYkpGV004a0EwRlNpam0wUmpBbmN2ZVBzb2c3QU9lTXY3QzJweU8yZ2FZNVJtcVpKaHB1WkNPVVp1dGx4VHcxVmJneWZ1aUkxdVFFcEx6eTNpeUxCdmhiSTBDR0gwX0ZrU3ZGMkpRTkh1X1BR?oc=5,0.0,neutral
2026-06-23,2026-06-24,NKE,Nike Stock (NKE) Slides as Analyst Flags ‘Minimal Needle-Moving Innovation’ - TipRanks,TipRanks,https://news.google.com/rss/articles/CBMiowFBVV95cUxNVkUzWjIxSW9jYzZWRG1jUnZKX3QwYUstc1ZrMUdWM0xYaERPOHl0LVZRWlBqTnlzdzNNM0ExbEZ3NVNFbG5KVTBBbTdRTkY2NzlVZnNBZFhsdnJ2UnJwWmVBT0NoZ3ZBMHBWQkRNOEc2UDZ5T200Rm82a1AzZ2RxQmtOUXNydmVva2NuWU5BZUhXMzBSREMxejkxaUN5NF9feXlF?oc=5,0.0,neutral
2026-06-23,2026-06-24,NKE,"NKE Stock Gains 2% After-Hours As Nike Names New CFO, Reaffirms Outlook — Retail Calls Leadership Transition ‘Promising’ - TradingView",TradingView,https://news.google.com/rss/articles/CBMihAJBVV95cUxNVU54Mjd6Q1MzRjV1dnBDQmx2R2w0azEyQnBfYlg5cHBWc1djai1rVWlaWi1SbGRDUWN4a1ZnMTFqX0tIM1dId2tOY3Yyck1NVWwwb0lvR3pjZEZiRktHcmtPQ2JHemgyVGJuYkxuY2VKT2k5dE9zNDhLbW1hZ2JfUTFjdW5uUWNFalhUVXRGaE9TQzloenBnamhBaGtlYk1laUY0RE1mamtDbGllaU5iOEMxRUYtLVU3Y0xhRW5INXplanRtTk53REh5LUZ4NFgxSm1DWThPQ29VLUlEaXliMzVYOFdLdHo3d2xtTjlfNEM4LWVHNHg0OE5sVWxDR2lZb1BXRg?oc=5,0.34,positive
