published,fetched_at,ticker,title,source,link,sentiment,sentiment_label
2026-03-15,2026-06-24,PEP,"Is PepsiCo, Inc. (PEP) A Good Stock To Buy Now? - Yahoo Finance",Yahoo Finance,https://news.google.com/rss/articles/CBMifEFVX3lxTE13WjNpTU9kTzN3YkZ5RWtvZm9wU0dDRDhHcm1CZGx4SUM0RzVXWVR5M184ZnY1ZkV4MDR6UXRWRHNCM2tZdndHa3U1Y1ZXV01fMWhCQVpYZnRkYnowakt4Qjk5TElVbzNhVnVvc0lYTmZjN3hOdDhjSlhsN3M?oc=5,0.4404,positive
2026-03-16,2026-06-24,PEP,PepsiCo (PEP) Stock Falls Amid Market Uptick: What Investors Need to Know - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMif0FVX3lxTE1iM1g5NEI3Nk5tMVRmZ3p1emt3cTM1OGNxbWg4eDc5ZlIyc0QtRXdVcl8xdm9rdFFBT3dCSUtmcC1oTngyTzJoSThNSzNVZlY1TXdOZExQNEN6SWNEOTBqakU4ZVBQem51QjlfZTN4OWExc2hQVm1YNmlYem9OU0U?oc=5,0.0,neutral
2026-04-24,2026-06-24,PEP,"Is PepsiCo, Inc. (PEP) A Good Stock To Buy Now? - Yahoo Finance",Yahoo Finance,https://news.google.com/rss/articles/CBMilgFBVV95cUxObk0ycEtoaEEtRm9ERElZR2laRjJyOTQ5aGNCLVVTRmJWWFowZ1NjTHFHMk5yaEhkWXg3TFRSd1VkVHZheFpSX1B3VHVtYV9rNlcyeks2eGZraU5BTGRLdHczWmhydGRoVk9IdkxYMkNqVTFZRFo5eFRFcUt6eDF0TUthSHhuamNDaVB1RGFzUDRjX1NwV2c?oc=5,0.4404,positive
2026-04-25,2026-06-24,PEP,PepsiCo (PEP): The Best Slow Growth Stock to Buy According to Analysts - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMimAFBVV95cUxNYVh5Z3pnaDJISlU5Y1cwNHRYQzYtaW9pX1pzOEU1RThSNE1WZWM0ZmxsQTFqMDNIZzR4QWl2dzJ6RS1Gai0xQTVxaUhiUUw3QVRUSFZaSTVISlBvTFREZEROdkQzellUQUhWSVl5bkJXNl9wamgzQ0FqeUNEMGdFcjgwMnRDekFWTWoxYmx6UDdFV3k0QlU4MA?oc=5,0.7783,positive
2026-05-06,2026-06-24,PEP,PepsiCo Declares Quarterly Dividend - PR Newswire,PR Newswire,https://news.google.com/rss/articles/CBMilgFBVV95cUxOZEs3ZTlQMUJLaGdXcVVOWFdmYldKOHZzbktxR05wR0lGOXJnZ3JKY0RsNHpMdmNPUmM0OHN4b09hOGs4emZUTUwzaHNwOEZOQllYWUFkQ21kbHBkOEpSMUM4MldBcU9LWnJwOFpnZVRvZUxFcENkcEIwcHpGUWRQc0czMzJLNWNOY3BBVVVTaUpLbng4M3c?oc=5,0.0,neutral
2026-05-07,2026-06-24,PEP,PepsiCo Stock Rises 9.4% in 6 Months: Buy Now or Stay Focused? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMikgFBVV95cUxOTmFzZHVDX2pJcDNWTk13UVA0R2huOW0zU0lZVUtFdlh5aDNxd2g3YlZnQXp2RHpURzJrMm85VHJLUDlfSndMaDBHSU9kYVVHcWIwTGcyRmZ1QXpZVWlYYU9BVndseWlMVEhuQmpqb05lOUVjYllZbjkyYUNwSmNhcVZ6X29lbmFZWVdhbFZtMkpNQQ?oc=5,0.3818,positive
2026-05-08,2026-06-24,PEP,Is It Time To Reconsider PepsiCo (PEP) After Its Mixed Share Price Performance - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMinwFBVV95cUxNT1VtWDVIbWVrX20zdTZhX0s5WUpEa3QzNHJ5aHZOZExqZi1ZV1NiN3FiQUNRTkN4SHVpOUI2SUpxLVdqaDR1LWg0VzFITk42UlRrN1B3Z1B4bEhjZEtvZXczZnlhS3lxVUNhVVpwUjlHaGN4dndHaEZrdUM5WG9BaFZzekVySkE5Q3J0UjlFMjZ0MjNIbWtONUV6d2lSelU?oc=5,0.296,positive
2026-05-20,2026-06-25,PEP,Coca-Cola vs. PepsiCo: Which Beverage Stock Looks Poised for Growth? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMimgFBVV95cUxQcDRHcVJ4NzMwQVg1VXN3VVJlV2YwN3R2NDZxdGM5U0VPM2p3eG55eUdwekIwc2lIVUZzZjRPb3lvWU00ZDU2dmlXNVA4dms4VW5VcExqblhybElKQzJRUHZDM2dKeEszb1dfQ1ZTa09zM0FfNFBOQmxlZk5ZUGpFVERreldrcHI3T0g0dXlGTGk0MmpEaVhBQUFR?oc=5,0.5574,positive
2026-05-23,2026-06-24,PEP,Is It Time To Reconsider PepsiCo (PEP) After Recent Share Price Swings? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMioAFBVV95cUxNaUdFcm5XbS1EY0EyN1ZpOWY0bnZybG9qNmVFREVkT3hkQTI1aE5uT2ZuS1NLLTI1dHRiSEQzSkxBNkVhaFhsU2lPZ1RvdS0tQzNhQlNsLUoycGdhZzdGdmI2cjF6S2wzazdkUXpmNFlYWWxNaFBnQ21zTlFTT2lRNUxHMW03Qy1Xa1FGTzZhVTZrandGc0xUZGJiUktJaENS?oc=5,0.296,positive
2026-05-28,2026-06-24,PEP,PepsiCo (PEP) Stock Slides as Market Rises: Facts to Know Before You Trade - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMinAFBVV95cUxNRVZhZ1dyZmNQckswZTdfMjVCc1RGa050VEdXQ2xoN1RLZ2lLUlZqOVZic1JTRjBRSlJLZXJJZDR2OHUtcjJNaXRJWFRsSDFldl9WVlNvMVQzOWpSVlVVT1BjVkthUXBhVWJmMWl1YTA3QkZSZFFIVXpiOWZwcE40UzFyMXF5aHdMSjdobFRqdXZzUzNlbzJ4TEs0SlA?oc=5,0.0,neutral
