published,fetched_at,ticker,title,source,link,sentiment,sentiment_label
2026-05-15,2026-07-03,XOM,Exxon's once-hefty dividend is now tiny. Here's how to fix that - CNBC,CNBC,https://news.google.com/rss/articles/CBMingFBVV95cUxOQ0JGcF9jXy1ZbnlvdkU3SGpEbUhieTItWmx6NEVJWW9UYTZGRVdISXBhaWVJTzRmMUVoNWswX1JPVFFuUVFrVVJmZFAzVVVJN3FHOWlyN0pZTUJaRFA5azBmYlpvS0FZaFUtWWFldUI1bVQ1SFViUnpNaGhfN0ZyZzByWEg5d0YtSzl4emVrTTY1YkpnRlAwYVBIUUVOZ9IBowFBVV95cUxNZmo3S1dMYl8zSkIxV09XeWNfU0dXRG5VZHdDU0ZPcDA2RFhzbkxMcWRfeHpKMENfZ1dOaDhKRzVaMTlKbG9YX3dYQy1vYmRJbmV6M2ZEcnd1NDJObEIwVlJFVFJNNXhZb1RlYWxnaHJ0Y05NOHBOMEhhNFFtYVJ2aVR5eGY5SDNIYUZVTHBUa1VJTllGRkVjVUVEQS1BU25jYlNj?oc=5,0.0,neutral
2026-05-28,2026-07-03,XOM,Occidental Petroleum vs Exxon Mobil: The Better Oil Titan For 2026 - 24/7 Wall St.,24/7 Wall St.,https://news.google.com/rss/articles/CBMirgFBVV95cUxPUHgtUlQ5Vy1KSGJWb3hKU3lXbnlGT0RGWVVsSVZtWGtpZWh6ek55WllMeGhfVHh0YTMzSXhsMVcyZXRxdzlUYWE2OE11ZktPLW5DTlJjOU03N2hWYTVhRzNmOTVMM3NxU3oxVTZJSlhzeXU4RjY0c1BJN1IxcWJEUy1EeTlFM3puSXo0UGVqczFCcDg5T2Ffek4zT28wM2RqYWhGcTJ0OGJmMGRlUUE?oc=5,0.4404,positive
2026-06-02,2026-06-26,XOM,Is Exxon Mobil (XOM) Still Undervalued After Strong Multi‑Year Total Returns - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMinwFBVV95cUxOaWRfNFh5cjJ5TEZTX2tuWmNnSWR1Z0RhNkwzSmR0X3dMU25UdkZBTnVhOTdTUGd3WEhGRks4aWI4UGxDd1NRdFRpck1yRVZTSTlvaElsZ1NmcWhKNk0yc0lHblhjY1FXbVFvR1VWcmVFT3RwdFZyTmZ0ek9ld1VwQW1rYTlXblVyRnozeW5BN29Nc1JJMmFhbmFMQ3g2WEE?oc=5,0.5106,positive
2026-06-04,2026-06-26,XOM,Decoupling Exxon’s Production Growth From Market Reality - Trefis,Trefis,https://news.google.com/rss/articles/CBMitgFBVV95cUxQMU5qSE96cFpjbS1fVG9HZFVDYlU0aDlQRks1NXMwVUpZNndsQkg5ZWxEVVl4TnpaVktWbFB3Y2MyR0ZUdjAwaGo2UWRkWlZhRU40RnhsYXA2c0V6UjVQZ0Q0cUI3NkR4MlZ0dnpNTUpCV25QcmNXbjNQTW43UUZEOGdsck5peFNRaWtvZ2xXcTBKZXVGRmN1Z2ItNVhSZm8tRXJMRWZYbXBrZ0Y4aXNWSXU3TFhSZw?oc=5,0.3818,positive
2026-06-04,2026-06-26,XOM,Exxon Mobil Corporation (XOM) Among the Best Low Cost Stocks to Buy Now - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMinwFBVV95cUxNSEFmWW5ZU0taaTNjRVNQZE5oaWwyaE9LWkppME41eXJpVGJqYS12bGYxQkwzcDhFeGdZQ01kSk9tbWtaLUl0M1Z4M1dNSkxaRGwwSUc1blFfck0yYTdBbWpEUTdvbWpuWUpQNHRXbUVLOElvYlBqU1RWcmNzbS1VZ0FGZFdzM0R5YU04ejIyNFVxbUxMSnJ2V09XamgwcFU?oc=5,0.4767,positive
2026-06-05,2026-06-24,XOM,Exxon Mobil (XOM) is a Top-Ranked Momentum Stock: Should You Buy? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMilgFBVV95cUxPcnZqUkN4VllLNVhJelFrNVRqaENfTy10V1BWOVJaOXRXSnE5RUQ2R0hpM0FfWkJXbjJ4dkt6Tk9hYjhlcHBTSHB0cENON3NOU2F5R3JvSTlnYjhuOW5kUzlJX1VIbVRDYlZPdkwyY3hPX2dqSVQxMGphYUdFQW5uOWNobndaemllNTR3OWtLbWIyWUdPMEE?oc=5,0.0,neutral
2026-06-07,2026-06-24,XOM,Why Short-Term Oil Volatility Is Giving Long-Term Investors a Once-in-a-Generation Gift to Buy ExxonMobil for Good - 24/7 Wall St.,24/7 Wall St.,https://news.google.com/rss/articles/CBMi7wFBVV95cUxOZ3RwdERTSk5xRzRYN0Q0bFlHR1ZqdzY3dEtuMU55VEhyUF9yaTlTTjRFT1N6bDRFRnlWVEtFSk90ZTNKU3JrY3hvMENCRVhIT3FsLUdMN0oxUUFSbFR0cjk3OWFSTjZERWZtWDRxWFFzVVZDQU90TzBvTDAtM0kxT2NqYk42SmJ1M01Fd1VjcENTdWtyaTNtU1BTampfd0lZV2dxazNDajNNby1SRXBwSVRqaWJCeFlUZzZZaFZ0YlB5bE4taUdTMVlsRE1Zb3VhQlJvY1FHamI3OUJMR1lyNkpYLWlwYlVxMjF1VlpFNA?oc=5,0.802,positive
2026-06-09,2026-06-24,XOM,Investors Heavily Search Exxon Mobil Corporation (XOM): Here is What You Need to Know - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMiowFBVV95cUxPeXA4eHJHdEV1QkFuX1BmR1dzb2JIUDhkTU5fNXN3SVc4VmRucGgxMFU0b21FSDJKWUMyeGZUTDN6Y09TRWZGUi0xazVnZkE1a2ZQWDBtdXl4eWxCZ0dwMFBwVmN5Q2JGNmpfRW9aeWtSOGhuckxzazJnVFY3SVVSR2RpeGNPemJSRUZmWnhxM1pCbXlCUVJaOG1Eb0lBU180a1N3?oc=5,0.0,neutral
2026-06-11,2026-06-24,XOM,The Hidden Engine That Could Power Exxon Mobil Stock Higher - Trefis,Trefis,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQSUQ5RlpDTzlKTFBHMkIxTWJhQVlUQnBWcU1XQ0NVc0lIYV9FaXF6bW9EcGg5cU9ma1VCbEVwNHZSTXotaEQtVXlmeTl3UWFEWUNGUWZsak00TUpWWHFzNkVNSlMyMHE3RTNxcUZ4RktYNU5mRDZlRm5ITTNKcVdaRXRZekJ2UFZzanptV0w4T250MVJpeFI1MFFpN3k0Q1lNZmRuNzRNSDU4WVVJa013SHM1ZDhIRGthRVdB?oc=5,0.0,neutral
2026-06-11,2026-06-24,XOM,Is It Too Late To Consider Exxon Mobil (XOM) After Strong 1-Year Share Price Gains? - Yahoo Finance,Yahoo Finance,https://news.google.com/rss/articles/CBMimAFBVV95cUxNZjBKOXp4ejBHQWdEbVB6TTRWaFg5dmlSaDI1NXFSUmhTVFlrLUItMDBkcVJlRFVNbjk3RF9ySDhDRzExbDF4N3BUSDBWSmpQNk50UFpXZFFELTZxWjlQMUNZYUlDdE1TSmpGdkxwRTVkU21TUDVtZ0ZfRk5MYkViemU2a1NqZnNiaDY2UWNQR0h6bnd5NHNNLQ?oc=5,0.7845,positive
